投诉品牌,投诉车系,投诉车型,问题简述,典型问题,典型问题2,典型问题4
南骏,祥康,自卸车,南骏祥康配件质量差故障问题多希望解决,,配件争议,
上汽通用别克,威朗,2018款 20T 双离合 领先型 三厢,别克威朗变速箱异响希望厂家处理问题,变速器,异响,
长安福特,福睿斯,2015款 1.5L 自动 时尚型,长安福特福睿斯驾驶室车窗升降失灵,车身附件及电器,车窗升降故障,
一汽-大众,探岳GTE,2020款 1.4T 尊贵型,大众探岳GTE实车无宣传的全景可视泊车系统,,销售欺诈,
一汽-大众,探岳GTE,2020款 1.4T 尊贵型,大众探岳GTE实车无宣传的全景可视泊车系统,,销售欺诈,
一汽-大众,探岳GTE,2020款 1.4T 尊贵型,大众探岳GTE实车无宣传的全景可视泊车系统,,销售欺诈,
一汽-大众,探岳GTE,2020款 1.4T 尊贵型,大众探岳GTE实车无宣传的全景可视泊车系统,,销售欺诈,
一汽-大众,探岳GTE,2020款 1.4T 尊贵型,大众探岳GTE实车无宣传的全景可视泊车系统,,销售欺诈,
一汽-大众,探岳GTE,2020款 1.4T 尊贵型,大众探岳GTE实车无宣传的全景可视泊车系统,,销售欺诈,
一汽-大众,探岳GTE,2020款 1.4T 尊贵型,大众探岳GTE实车无宣传的全景可视泊车系统,,销售欺诈,
一汽-大众,探岳GTE,2020款 1.4T 尊贵型,大众探岳GTE实车无宣传的全景可视泊车系统,,销售欺诈,
东风标致,标致508,2015款 1.8THP 自动 旗舰版,东风标致508发动机烧机油要求解决,发动机,烧机油,
吉利汽车,博越,2016款 1.8TD 自动 两驱 智慧型,吉利博越水箱散热风扇故障导致水温高,发动机,冷却系统故障,
广汽丰田,雷凌,2021款 185T CVT 豪华版,广汽丰田雷凌变速箱低速行驶顿挫异响,变速器,异响,顿挫
东风标致,标致408,2014款 1.8L 自动 领先版,东风标致408严重烧机油发动机熄火,发动机,烧机油,熄火
东风日产,天籁,2021款 2.0L XL 舒适版,东风日产天籁汽油箱异响明显希望解决,车身附件及电器,汽油箱异响,
广汽丰田,凯美瑞,2007款 240V 2.4 自动 NAVI 至尊导航版,广汽丰田凯美瑞仪表台开裂 发动机烧机油,发动机,烧机油,仪表台开裂
广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度冷车启动发动机打齿异响,发动机,异响,
大众（进口）,Tiguan,2019款 330TSI 四驱 创睿型,进口大众Tiguan分动箱出现漏油的现象,前后桥及悬挂系统,差速器漏油,
东风日产,奇骏,2014款 2.0L XE CVT 两驱 时尚版,东风日产奇骏高速行驶中变速箱突然失速,变速器,无法加速,
广汽本田,冠道,2017款 240TURBO CVT 两驱 精英版,广汽本田冠道车窗密封条老化开裂要求更换,车身附件及电器,密封条损坏,
广汽丰田,凯美瑞,2019款 2.0G 豪华版 国V,广汽丰田凯美瑞主驾驶一侧车门异响,车身附件及电器,门窗异响,
上汽通用别克,昂科拉,2014款 1.4T 手动 两驱都市运动型,别克昂科拉车内异味自购车后一直存在,车身附件及电器,车内异味,
吉利汽车,帝豪GS,2018款 1.4T 自动 领潮版 尊尚智联型,吉利帝豪GS变速箱异响顿挫 方向盘按键卡滞,变速器,异响,顿挫
一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳发动机油耗高噪音大车轮异响,发动机,噪音大,油耗高
长安福特,蒙迪欧,2013款 2.0T 自动 GTDi240豪华运动型,长安福特蒙迪欧自适应大灯故障影响安全,车身附件及电器,车灯模块故障,
斯巴鲁,森林人,2013款 2.5L CVT 精英导航版,斯巴鲁森林人主驾驶座椅皮严重开裂,车身附件及电器,部件开裂,座椅故障
上汽通用别克,昂科拉,2013款 1.4T  手动 都市进取型,别克昂科拉车辆存在异味而且越来越严重,车身附件及电器,车内异味,
Jeep（进口）,指南者（进口）,2014款 2.4L 自动 四驱 舒适版 改款,进口Jeep指南者自购车起车内一直有异味,车身附件及电器,车内异味,
东风日产,天籁,2019款 2.0L XL Upper 智行版,东风日产天籁汽油箱存在明显撞击声音,车身附件及电器,汽油箱异响,
东风日产,天籁,2010款 2.0 XL 自动 舒适版 天籁,东风日产天籁仪表台开裂出油影响驾驶安全,车身附件及电器,仪表台开裂,
长安福特,福克斯,2017款 1.6L 自动 风尚型 智行版 三厢,长安福特福克斯启动时发动机抖动售后未解决,发动机,抖动,
长城汽车,哈弗H9,2017款 2.0T 四驱 尊享型 5座 汽油,哈弗H9变速箱进水导致无法换挡故障灯亮,变速器,无法换挡,故障灯亮
长安福特,翼虎,2015款 1.5L GTDi 四驱精英型 5座,长安福特翼虎发动机高压油泵损坏发动机拉缸,发动机,拉缸,
上汽大众斯柯达,柯迪亚克,2017款 TSI330 两驱 舒适版 5座,斯柯达柯迪亚克变速箱机电单元故障,变速器,电脑板故障,
北京越野,北京BJ40,2019款 2.0T 自动 四驱 城市猎人版 尊享型 国V,北京BJ40发动机有漏油的现象要求解决,发动机,漏油,
上汽通用别克,凯越,2008款 1.6 自动 LE Navi,别克凯越中控台脱胶开裂影响安全行驶,车身附件及电器,仪表台开裂,
东风日产,奇骏,2019款 2.0L CVT 时尚版 5座 2WD,东风日产奇骏中控台有电流声希望处理,车身附件及电器,中控台异响,
东风日产,奇骏,2019款 2.0L CVT 时尚版 5座 2WD,东风日产奇骏中控台有电流声希望处理,车身附件及电器,中控台异响,
东风日产,奇骏,2019款 2.0L CVT 时尚版 5座 2WD,东风日产奇骏中控台有电流声希望处理,车身附件及电器,中控台异响,
东风日产,奇骏,2019款 2.0L CVT 时尚版 5座 2WD,东风日产奇骏中控台有电流声希望处理,车身附件及电器,中控台异响,
东风日产,奇骏,2019款 2.0L CVT 时尚版 5座 2WD,东风日产奇骏中控台有电流声希望处理,车身附件及电器,中控台异响,
东风日产,奇骏,2019款 2.0L CVT 时尚版 5座 2WD,东风日产奇骏中控台有电流声希望处理,车身附件及电器,中控台异响,
东风日产,奇骏,2019款 2.0L CVT 时尚版 5座 2WD,东风日产奇骏中控台有电流声希望处理,车身附件及电器,中控台异响,
东风日产,奇骏,2019款 2.0L CVT 时尚版 5座 2WD,东风日产奇骏中控台有电流声希望处理,车身附件及电器,中控台异响,
广汽乘用车,传祺GS4,2016款 235T 手动 豪华版,广汽传祺GS4发动机转向和底盘异响,发动机,异响,异响
长城汽车,哈弗大狗,2021款 1.5T DCT 边牧版,哈弗大狗刹车异响严重经销商不解决,制动系统,异响,
长安福特,福克斯,2012款 1.6 自动 舒适 三厢,长安福特福克斯变速箱抖动 高速脱挡,变速器,抖动,脱挡
上汽大众,朗逸,2017款 1.6L 自动 风尚版,上汽大众朗逸发动机涨紧轮及变速箱异响,发动机,异响,漏油
上汽通用别克,凯越,2011款 1.6 自动 LX,别克凯越中控台开裂 雨刮器失灵,车身附件及电器,仪表台开裂,雨刮器故障
一汽马自达,阿特兹,2020款 2.0L 蓝天豪华版,一汽马自达阿特兹踩刹车方向盘抖动,制动系统,抖动,
一汽-大众,迈腾,2020款 330TSI DSG 领先型,一汽大众迈腾车机花屏 飞轮异响 发动机抖动,发动机,异响,抖动
一汽奔腾,奔腾X40,2017款 1.6L 手动 豪华型,一汽奔腾X40发动机第4缸压力不足,发动机,抖动,漏气
上汽通用五菱,宝骏510,2017款 1.5L 手动 豪华型,宝骏510车身生锈严重 倒车影像模糊,车身附件及电器,车身生锈,影音系统故障
广汽菲克菲亚特,菲翔,2012款 1.4T 自动 劲享版,广汽菲克菲亚特菲翔变速箱严重渗油,变速器,漏油,
东风日产,奇骏,2015款 2.0L CVT 舒适MAX版 2WD,东风日产奇骏行驶中变速箱抖动 顿挫 打滑,变速器,顿挫,抖动
一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳大灯发白亮度低影响行驶安全,车身附件及电器,车灯不亮,
东风悦达起亚,K5凯酷,2011款 2.0 自动 TOP,东风悦达起亚K5凯酷发动机异响疑似设计缺陷,发动机,异响,
一汽丰田,奕泽IZOA,2020款 2.0L 奕享版,一汽丰田奕泽行驶过中发动机突然熄火,发动机,熄火,
吉利汽车,博瑞,2017款 1.8T 尊尚型,吉利博瑞行驶时变速箱不升挡顿挫严重,变速器,顿挫,无法换挡
宝沃汽车,宝沃BX7,2016款 28T 四驱 豪华版 7座,宝沃BX7发动机烧机油严重希望解决,发动机,烧机油,
北汽昌河,昌河Q25,2016款 1.5L 自动 乐慧版,北汽昌河Q25左后尾灯厂家无配件要求解决,,配件争议,
一汽-大众,速腾,2021款 280TSI DSG 舒适智联版,一汽大众速腾切换挡位时变速箱异响,变速器,异响,
长安福特,福克斯,2012款 1.6 手动 风尚型 两厢,长安福特福克斯经销商倒闭贷款还清无法解押,,承诺不兑现,
上汽通用别克,英朗,2021款 典范 1.5L 自动 精英型,别克英朗发动机故障报警要求尽快解决,发动机,故障灯亮,
广汽丰田,凯美瑞,2018款 2.5HG E-CVT 豪华版,广汽丰田凯美瑞车身副驾驶位置行驶异响,车身附件及电器,车身异响,
时风牌,风云C版,轻型自卸货车,时风牌风云C版举升系统不牢固半轴横梁断裂,制动系统,刹车失灵,半轴脱落
北京现代,北京现代ix35,2020款 2.0L 自动 两驱 智勇·畅享版,北京现代ix35排气管有异响 底盘生锈,车身附件及电器,车身生锈,排气管异响
东风雪铁龙,世嘉,2011款 1.6 自动 时尚型 三厢,东风雪铁龙世嘉变速箱漏油要求厂家解决,变速器,漏油,
沃尔沃亚太,沃尔沃S60,2020款 T4 智逸豪华版,沃尔沃亚太S60厂家不兑现大客户优惠政策,,承诺不兑现,
广汽乘用车,传祺GS4,2020款 270T 自动 精英科技版,广汽传祺GS4真空泵漏油制动失灵要求退车,制动系统,刹车失灵,刹车泵故障
上汽大众,帕萨特,2020款 改款 330TSI 精英版 国VI,上汽大众帕萨特大灯进水经销商不予索赔,车身附件及电器,车灯进水,服务态度
上汽大众,帕萨特,2020款 改款 330TSI 精英版 国VI,上汽大众帕萨特大灯进水经销商不予索赔,车身附件及电器,车灯进水,服务态度
上汽大众,帕萨特,2020款 改款 330TSI 精英版 国VI,上汽大众帕萨特大灯进水经销商不予索赔,车身附件及电器,车灯进水,服务态度
上汽大众,帕萨特,2020款 改款 330TSI 精英版 国VI,上汽大众帕萨特大灯进水经销商不予索赔,车身附件及电器,车灯进水,服务态度
上汽大众,帕萨特,2020款 改款 330TSI 精英版 国VI,上汽大众帕萨特大灯进水经销商不予索赔,车身附件及电器,车灯进水,服务态度
上汽大众,帕萨特,2020款 改款 330TSI 精英版 国VI,上汽大众帕萨特大灯进水经销商不予索赔,车身附件及电器,车灯进水,服务态度
上汽大众,帕萨特,2020款 改款 330TSI 精英版 国VI,上汽大众帕萨特大灯进水经销商不予索赔,车身附件及电器,车灯进水,服务态度
上汽大众,帕萨特,2020款 改款 330TSI 精英版 国VI,上汽大众帕萨特大灯进水经销商不予索赔,车身附件及电器,车灯进水,服务态度
上汽集团,名爵6,2018款 20T 自动 豪华智联版 国VI,上汽名爵6变速箱程序升级后动力变弱,变速器,无法加速,服务流程不完善
东风日产,轩逸,2020款 改款 1.6L XL CVT 悦享版,东风日产轩逸变速箱自保程序导致失速,,其他,
上汽集团,荣威RX5,2020款 20T 自动 4G互联超越旗舰版,上汽荣威RX5 4S店承诺的置换补贴未兑现,,承诺不兑现,
广汽丰田,汉兰达,2018款 2.0T 四驱 精英版 7座 国V,广汽丰田汉兰达发动机漏油希望解决,发动机,漏油,
一汽-大众,高尔夫,2015款 1.6L 自动 舒适型,一汽大众高尔夫变速器故障报警要求解决,变速器,故障灯亮,挡把总成故障
一汽-大众奥迪,奥迪A6L,2019款 45 TFSI 臻选动感型,一汽大众奥迪A6L轮毂氧化希望厂家解决,车身附件及电器,轮毂问题,
东风日产,奇骏,2019款 2.0L CVT 智联舒适版 5座 2WD,东风日产奇骏调节空调时仪表台内部异响,车身附件及电器,空调问题,
吉利汽车,帝豪GS,2016款 1.3T 自动 领尚型 运动版,吉利帝豪GS变速箱异响顿挫 座椅气囊故障,变速器,异响,顿挫
一汽-大众,探岳,2019款 380TSI 四驱 R-Line 国V,一汽大众探岳变速器异响顿挫低速啸叫,变速器,异响,顿挫
一汽马自达,阿特兹,2020款 2.5L 蓝天运动版,一汽马自达阿特兹转向异响 中控异响,转向系统,异响,抖动
一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳转向卡滞车灯不亮发动机噪音大,发动机,噪音大,卡滞
东风小康,小康K07S,2019款 1.2L 实用型 国VI DK12,东风小康K07S行驶中熄火车身多处生锈,发动机,熄火,车身生锈
一汽奔腾,奔腾T77,2020款 PRO 280 TID 自动 尊享型,一汽奔腾T77中控花屏多次维修未解决,车身附件及电器,影音系统故障,人员技术
广汽本田,冠道,2017款 240TURBO CVT 两驱 舒享版,广汽本田冠道喷油嘴故障发动机熄火,发动机,熄火,喷油嘴故障
一汽马自达,阿特兹,2020款 2.0L 蓝天豪华版,一汽马自达阿特兹仪表台和车身B柱异响,转向系统,打方向沉重,车身异响
广汽本田,飞度,2016款 1.5L LX 手动 舒适型,广汽本田飞度冷车启动后发动机存在异响,发动机,异响,
长安林肯,冒险家,2021款 2.0T 两驱 尊享版,长安林肯冒险家4S店不退还购车诚意金,,服务收费,
长安汽车,长安欧尚X7,2020款 1.5T 自动 豪华型,长安欧尚X7踩油门无法行驶 发动机抖动,发动机,抖动,无法加速
广汽三菱,欧蓝德,2019款 2.0L 两驱 畅享版 5座 国V,广汽三菱欧蓝德加满油后顿挫感严重,变速器,顿挫,
上汽通用别克,君威,2017款 20T 自动 豪华型,别克君威车载互联经常断线无法使用,车身附件及电器,车载互联故障,
上汽大众,帕萨特,2017款 330TSI 御尊版,上汽大众帕萨特变速箱无倒挡和偶数挡,变速器,无法换挡,滑阀箱故障
一汽-大众,速腾,2017款 1.6L 自动 舒适型,一汽大众速腾4S店将原装屏幕私自扣留,,服务流程不完善,
一汽-大众,迈腾,2020款 330TSI DSG 豪华型,一汽大众迈腾怠速运转时发动机抖动异响,发动机,异响,
一汽丰田,卡罗拉,2019款 1.2T S-CVT GL先锋版,一汽丰田卡罗拉转向柱及底盘生锈严重,变速器,异响,顿挫
上汽大众,途观L,2020款 330TSI 自动 两驱 全景舒适版 国VI,上汽大众途观L启停失灵 颗粒捕捉器堵塞,发动机,油耗高,排气故障
上汽集团,荣威360,2015款 1.5L   自动 豪华版,上汽荣威360空调风道切换失灵影响使用,车身附件及电器,空调问题,
上汽大众,途岳,2020款 330TSI 四驱 旗舰版 国VI,上汽大众途岳变速箱拖挡共振抖动影响驾驶,变速器,拖挡,
上汽大众,途岳,2020款 330TSI 四驱 旗舰版 国VI,上汽大众途岳变速箱拖挡共振抖动影响驾驶,变速器,拖挡,
上汽大众,途岳,2020款 330TSI 四驱 旗舰版 国VI,上汽大众途岳变速箱拖挡共振抖动影响驾驶,变速器,拖挡,
上汽大众,途岳,2020款 330TSI 四驱 旗舰版 国VI,上汽大众途岳变速箱拖挡共振抖动影响驾驶,变速器,拖挡,
上汽大众,途岳,2020款 330TSI 四驱 旗舰版 国VI,上汽大众途岳变速箱拖挡共振抖动影响驾驶,变速器,拖挡,
上汽大众,途岳,2020款 330TSI 四驱 旗舰版 国VI,上汽大众途岳变速箱拖挡共振抖动影响驾驶,变速器,拖挡,
上汽大众,途岳,2020款 330TSI 四驱 旗舰版 国VI,上汽大众途岳变速箱拖挡共振抖动影响驾驶,变速器,拖挡,
上汽大众,途岳,2020款 330TSI 四驱 旗舰版 国VI,上汽大众途岳变速箱拖挡共振抖动影响驾驶,变速器,拖挡,
一汽-大众,宝来,2018款 1.5L 自动 舒适型,一汽大众宝来行驶时变速箱顿挫严重,变速器,顿挫,
长安汽车,长安CS75 PLUS,2020款 2.0T 自动 旗舰型,长安CS75 PLUS车门异响车身异响空调异响,车身附件及电器,空调问题,车身异响
一汽-大众,速腾,2020款 280TSI DSG 舒适型 国V,一汽大众速腾店内承诺上牌一直未兑现,,承诺不兑现,
江铃集团新能源,易至EV3,2019款 乐跑版,江铃新能源易至EV3车辆漏油密封件损坏,变速器,漏油,机械部件故障
长安汽车,长安CS75 PLUS,2020款 2.0T 自动 旗舰型,长安CS75 PLUS车辆行驶时转向异响,转向系统,异响,
一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯不亮影响行车安全,车身附件及电器,车灯不亮,
上汽大众,桑塔纳,2019款 1.5L 自动 风尚版 国V,上汽大众桑塔纳发动机异响方向盘异响,发动机,异响,异响
奇瑞汽车,瑞虎8,2020款 290TGDI 自动 豪华版,奇瑞瑞虎8变速箱无法换挡 油表不准,变速器,无法换挡,仪表故障
领克,领克01,2021款 2.0TD 四驱 暗夜版,领克01前保险杠卡扣松动 中控台异响,车身附件及电器,部件开裂,中控台异响
广汽菲克Jeep,指南者,2019款 220T 自动 悦享版,广汽菲克Jeep指南者变速箱异响 底盘异响,变速器,异响,底盘异响
广汽乘用车,传祺GS4,2018款 235T 自动 两驱 豪华智联版,广汽传祺GS4远程控制2G网络无法使用,车身附件及电器,车载互联故障,
上汽通用别克,君威,2019款 20T 精英型 国VI,别克君威发动机启动延迟要求解决,发动机,无法启动,
长安福特,福克斯,2012款 1.6 自动 风尚型 两厢,长安福特福克斯变速箱漏水导致无法加速,变速器,无法加速,车身漏水
中国重汽,重汽豪沃,4.2米,重汽豪沃发动机故障报警 排气管烧红,发动机,故障灯亮,排气故障
上汽大众,途观L,2020款 330TSI 自动 两驱 全景舒适版 国VI,上汽大众途观L变速箱跳挡拖挡共振,变速器,抖动,拖挡
一汽-大众,迈腾,2019款 330TSI DSG 领先型 国V,一汽大众迈腾天窗异响 后视镜折叠异响,车身附件及电器,天窗异响,后视镜故障
长安汽车,长安CS85 COUPE,2021款 1.5T DCT 精英型,长安CS85 COUPE大灯进水 手扶箱皮革鼓包,车身附件及电器,部件开裂,车灯进水
东风日产,奇骏,2020款 2.0L XL Premium CVT 2WD 智联尊享版,东风日产奇骏刹车片松动异响4S店不解决,制动系统,异响,
长城汽车,哈弗F7,2019款 1.5T 两驱 i潮,哈弗F7主驾驶车门颠簸路面异响严重,车身附件及电器,门窗异响,
广汽本田,雅阁,2018款 2.0L 锐智版 锐·混动 国VI,广汽本田雅阁发动机抖动故障报警 转向异响,发动机,抖动,故障灯亮
东风小康,风光580,2018款 1.5T CVT 智尚型,东风风光580车身异响 新更换车灯质量差,车身附件及电器,车身异响,配件争议
上汽通用别克,昂科威,2020款 20T 两驱 精英型,别克昂科威变速箱异响换挡顿挫 车门异响,变速器,异响,顿挫
一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯颜色变蓝亮度不足,车身附件及电器,车灯不亮,
长安福特,福克斯,2015款 1.6L 自动 舒适型 两厢,长安福特福克斯变速箱顿挫 前后桥严重生锈,变速器,顿挫,车身生锈
东风日产,轩逸,2014款 1.6L XV CVT 尊享版,东风日产轩逸变速箱报故障码P0846,变速器,滑阀箱故障,
东风本田,INSPIRE,2019款 锐·混动 2.0L 净尚版 国V,东风本田INSPIRE发动机缸垫处有渗油现象,发动机,漏油,
一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L中控死机黑屏厂家不解决,车身附件及电器,影音系统故障,
一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L中控死机黑屏厂家不解决,车身附件及电器,影音系统故障,
一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L中控死机黑屏厂家不解决,车身附件及电器,影音系统故障,
一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L中控死机黑屏厂家不解决,车身附件及电器,影音系统故障,
一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L中控死机黑屏厂家不解决,车身附件及电器,影音系统故障,
一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L中控死机黑屏厂家不解决,车身附件及电器,影音系统故障,
一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L中控死机黑屏厂家不解决,车身附件及电器,影音系统故障,
一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L中控死机黑屏厂家不解决,车身附件及电器,影音系统故障,
广汽乘用车,传祺GS5,2019款 270T 自动 精英版,广汽传祺GS5刹车异响厂家推诿不解决,制动系统,异响,
广汽丰田,雷凌,2021款 185T CVT 豪华版,广汽丰田雷凌刹车异响 变速箱异响顿挫,变速器,异响,顿挫
奇瑞汽车,瑞虎3,2016款 1.6L CVT 智尚版,奇瑞瑞虎3发动机及变速箱故障灯亮,发动机,故障灯亮,故障灯亮
上汽大众,途观L,2021款 330TSI 自动 两驱 R-Line越享版,上汽大众途观L方向盘沉重且异响无人处理,转向系统,异响,打方向沉重
上汽大众,朗逸,2017款 1.6L 自动 风尚版,上汽大众朗逸副驾驶玻璃升降偶尔无反应,车身附件及电器,车窗升降故障,
北京现代,悦动,2018款 1.6L 自动 悦目版 GL 国VI,北京现代悦动发动机启动困难 车内噪音大,发动机,无法启动,
上汽通用雪佛兰,科鲁兹,2013款 1.6L 自动 豪华型 掀背,雪佛兰科鲁兹行驶过程中方向盘突然锁死,转向系统,卡滞,失灵
一汽-大众,迈腾,2019款 280TSI DSG 舒适型 国V,一汽大众迈腾高压油泵异响要求尽快处理,发动机,异响,
大众（进口）,Tiguan,2018款 380TSI 四驱 R-Line,进口大众Tiguan马牌轮胎排水槽处出现裂纹,轮胎,开裂,
广汽乘用车,传祺GS4,2017款 200T 手动 两驱 豪华版,广汽传祺GS4 4S店更换挡风玻璃却有漏水的现象,车身附件及电器,车身漏水,人员技术
吉利汽车,缤瑞,2018款 14T CVT 缤纷版,吉利缤瑞行驶过程中方向盘有异响,转向系统,异响,
长城汽车,WEY VV5,2017款 VV5 旗舰型,WEY VV5轮胎内侧有严重吃胎的现象,前后桥及悬挂系统,吃胎偏磨,
长安福特,福克斯,2018款 EcoBoost 125 自动 超能风尚型 智行版 三厢,长安福特福克斯行驶过程中变速箱顿挫异响,变速器,异响,顿挫
广汽本田,皓影,2021款 240TURBO CVT 两驱 精英版,广汽本田皓影发动机机油增多 机油乳化,发动机,机油增多,机油乳化
一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳颗粒捕捉器堵塞 动力不足,发动机,异响,功率不足
一汽-大众奥迪,奥迪A3,2018款 Limousine 1.4T 运动型 30周年年型,一汽大众奥迪A3变速箱顿挫异响 车机死机,变速器,异响,顿挫
上汽大众,凌渡,2021款 230TSI DSG 风尚版,上汽大众凌渡倒挡异响 抖动严重,变速器,异响,抖动
奇瑞新能源,艾瑞泽5e,2018款 450 智酷版,奇瑞艾瑞泽5e电池亏电 减震器异响,前后桥及悬挂系统,减震器异响,动力电池故障
上汽通用雪佛兰,探界者,2019款 535T 自动 驰界版 国VI,雪佛兰探界者真空助力泵漏气通信失败,制动系统,刹车泵故障,
北京现代,索纳塔,2020款 380TGDi GS 自动 智享版,北京现代索纳塔4S店收取定损费用后无配件,,承诺不兑现,配件争议
一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯内部发白亮度不足,车身附件及电器,车灯不亮,
一汽-大众奥迪,奥迪Q5,2017款 Plus 40 TFSI 进取型,一汽大众奥迪Q5全景天窗异响无法解决,车身附件及电器,天窗异响,
长安福特,福睿斯,2015款 1.5L 自动 舒适型,长安福特福睿斯集雨板设计缺陷导致漏水,车身附件及电器,车身漏水,
一汽-大众奥迪,奥迪Q3,2021款 40 TFSI 时尚动感型,一汽大众奥迪Q3新车行驶100公里漏油,变速器,漏油,
一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳油耗增加 启停失灵 发动机异响,发动机,异响,油耗高
江淮汽车,瑞风S3,2016款 1.5L CVT 豪华智能尊享版,江淮瑞风S3安全气囊灯常亮无法解决,车身附件及电器,气囊故障,
广汽丰田,汉兰达,2018款 2.0T 四驱 豪华版 7座 国VI,广汽丰田汉兰达前轮邓禄普轮胎起皮,轮胎,开裂,
广汽丰田,汉兰达,2018款 2.0T 四驱 豪华版 7座 国VI,广汽丰田汉兰达前轮邓禄普轮胎起皮,轮胎,开裂,
广汽丰田,汉兰达,2018款 2.0T 四驱 豪华版 7座 国VI,广汽丰田汉兰达前轮邓禄普轮胎起皮,轮胎,开裂,
广汽丰田,汉兰达,2018款 2.0T 四驱 豪华版 7座 国VI,广汽丰田汉兰达前轮邓禄普轮胎起皮,轮胎,开裂,
广汽丰田,汉兰达,2018款 2.0T 四驱 豪华版 7座 国VI,广汽丰田汉兰达前轮邓禄普轮胎起皮,轮胎,开裂,
广汽丰田,汉兰达,2018款 2.0T 四驱 豪华版 7座 国VI,广汽丰田汉兰达前轮邓禄普轮胎起皮,轮胎,开裂,
广汽丰田,汉兰达,2018款 2.0T 四驱 豪华版 7座 国VI,广汽丰田汉兰达前轮邓禄普轮胎起皮,轮胎,开裂,
广汽丰田,汉兰达,2018款 2.0T 四驱 豪华版 7座 国VI,广汽丰田汉兰达前轮邓禄普轮胎起皮,轮胎,开裂,
广汽乘用车,传祺GS4,2021款 270T 自动 智联科技版,广汽传祺GS4电瓶亏电发动机无法启动,车身附件及电器,电瓶故障,
一汽-大众奥迪,奥迪Q5L,2020款 改款 40 TFSI 荣享时尚型,一汽大众奥迪Q5L密封性差希望厂家处理,,其他,
奇瑞汽车,瑞虎8,2018款 1.5TCI 手动 尊贵型 5座,奇瑞瑞虎8后挡风玻璃开裂存在质量问题,车身附件及电器,玻璃开裂,
上汽大众,途岳,2020款 330TSI 四驱 旗舰版 国VI,上汽大众途岳怠速或行驶时车身抖动,车身附件及电器,车身共振,
一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯有白雾希望厂家处理问题,车身附件及电器,车灯不亮,
东风本田,思域,2016款 220TURBO 自动 尊耀版,东风本田思域优科豪马轮胎起皮存在质量问题,轮胎,起皮,
东风乘用车,风神AX4,2017款 1.6L 手动 潮悦型,东风风神AX4变速箱异响发动机无力,发动机,功率不足,异响
广汽本田,缤智,2020款 1.5L CVT 先锋版,广汽本田缤智发动机异响希望退换车,发动机,异响,
上汽通用别克,威朗,2018款 15S 自动 领先型 三厢,别克威朗氧传感器故障加速无力熄火,发动机,抖动,功率不足
一汽丰田,亚洲龙,2019款 2.0L 进取版 国VI,一汽丰田亚洲龙经销商不给保养手册,,服务流程不完善,
一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳颗粒捕捉器堵塞 雨刮故障,发动机,油耗高,排气故障
长安福特,福克斯,2012款 1.6 自动 舒适型 两厢,长安福特福克斯起步时变速箱抖动顿挫,变速器,顿挫,抖动
野马汽车,野马T80,2017款 1.5T 手动 炫酷版,野马T80 EPB系统故障希望尽快处理,制动系统,故障灯亮,
一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳颗粒捕捉器堵塞 雨刮异响,发动机,油耗高,排气故障
长安福特,蒙迪欧,2013款 1.5T 自动 GTDi180时尚型,长安福特蒙迪欧米其林轮胎开裂影响安全,轮胎,开裂,
吉利汽车,博瑞,2017款 1.8T 旗舰型,吉利博瑞发动机异响严重希望尽快处理,发动机,异响,
长安林肯,冒险家,2021款 2.0T 四驱 尊雅版,长安林肯冒险家打开车门音响存在电流声,车身附件及电器,影音系统故障,
保时捷,Cayenne,2020款 Cayenne S Coupé 2.9T,保时捷Cayenne倍耐力轮胎鼓包要求处理,轮胎,开裂,
一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L中控屏幕经常卡死,车身附件及电器,影音系统故障,
